Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,1,646,345,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,1,627,351,00:00:00.6
19,1,626,356,00:00:00.6333333333333333
20,1,626,356,00:00:00.6666666666666666
21,1,621,361,00:00:00.7
22,1,618,366,00:00:00.7333333333333333
23,1,486,423,00:00:00.7666666666666666
24,1,613,386,00:00:00.8
25,1,611,396,00:00:00.8333333333333334
26,1,608,397,00:00:00.8666666666666667
27,1,607,410,00:00:00.9
28,1,606,423,00:00:00.9333333333333333
29,1,601,437,00:00:00.9666666666666667
30,1,598,453,00:00:01.0
31,1,597,467,00:00:01.0333333333333332
32,1,597,467,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,0,0,0,00:00:01.1333333333333333
35,0,0,0,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,1,653,288,00:00:01.2333333333333334
38,1,652,287,00:00:01.2666666666666666
39,1,658,267,00:00:01.3
40,1,627,383,00:00:01.3333333333333333
41,1,670,236,00:00:01.3666666666666667
42,1,673,223,00:00:01.4
43,1,678,216,00:00:01.4333333333333333
44,1,678,215,00:00:01.4666666666666666
45,1,683,206,00:00:01.5
46,1,686,201,00:00:01.5333333333333332
47,1,691,196,00:00:01.5666666666666667
48,1,695,193,00:00:01.6
49,1,697,193,00:00:01.6333333333333333
50,1,697,192,00:00:01.6666666666666667
51,1,701,192,00:00:01.7
52,1,705,193,00:00:01.7333333333333334
53,1,708,196,00:00:01.7666666666666666
54,1,711,198,00:00:01.8
55,1,713,203,00:00:01.8333333333333333
56,1,715,205,00:00:01.8666666666666667
57,1,717,210,00:00:01.9
58,1,720,216,00:00:01.9333333333333333
59,1,721,222,00:00:01.9666666666666666
60,1,676,171,00:00:02.0
61,0,0,0,00:00:02.033333333333333
62,0,0,0,00:00:02.0666666666666664
63,1,626,116,00:00:02.1
64,1,608,98,00:00:02.1333333333333333
65,1,591,82,00:00:02.1666666666666665
66,1,575,67,00:00:02.2
67,1,562,58,00:00:02.2333333333333334
68,1,562,58,00:00:02.2666666666666666
69,1,548,50,00:00:02.3
70,1,535,43,00:00:02.3333333333333335
71,1,523,40,00:00:02.3666666666666667
72,1,513,37,00:00:02.4
73,1,505,36,00:00:02.433333333333333
74,1,503,36,00:00:02.466666666666667
75,1,493,37,00:00:02.5
76,1,483,38,00:00:02.533333333333333
77,1,473,42,00:00:02.5666666666666664
78,1,466,47,00:00:02.6
79,1,458,53,00:00:02.6333333333333333
80,1,458,52,00:00:02.6666666666666665
81,1,448,61,00:00:02.7
82,1,441,71,00:00:02.7333333333333334
83,0,0,0,00:00:02.7666666666666666
84,1,426,96,00:00:02.8
85,1,420,106,00:00:02.8333333333333335
86,1,418,106,00:00:02.8666666666666667
87,1,411,121,00:00:02.9
88,1,403,136,00:00:02.933333333333333
89,1,398,153,00:00:02.966666666666667
90,1,392,171,00:00:03.0
91,1,388,187,00:00:03.033333333333333
92,1,386,187,00:00:03.0666666666666664
93,1,381,207,00:00:03.1
94,1,376,226,00:00:03.1333333333333333
95,1,371,247,00:00:03.1666666666666665
96,1,366,268,00:00:03.2
97,1,363,290,00:00:03.2333333333333334
98,1,362,290,00:00:03.2666666666666666
99,1,358,313,00:00:03.3
100,1,353,336,00:00:03.3333333333333335
101,1,350,361,00:00:03.3666666666666667
102,1,346,385,00:00:03.4
103,1,345,405,00:00:03.433333333333333
104,1,343,407,00:00:03.466666666666667
105,1,341,428,00:00:03.5
106,1,337,455,00:00:03.533333333333333
107,1,333,482,00:00:03.5666666666666664
108,1,331,507,00:00:03.6
109,0,0,0,00:00:03.6333333333333333
110,0,0,0,00:00:03.6666666666666665
111,0,0,0,00:00:03.6999999999999997
112,1,323,582,00:00:03.7333333333333334
113,1,318,608,00:00:03.7666666666666666
114,0,0,0,00:00:03.8
115,0,0,0,00:00:03.8333333333333335
116,0,0,0,00:00:03.8666666666666667
117,0,0,0,00:00:03.9
118,0,0,0,00:00:03.933333333333333
119,0,0,0,00:00:03.966666666666667
120,0,0,0,00:00:04.0
121,0,0,0,00:00:04.033333333333333
122,0,0,0,00:00:04.066666666666666
123,0,0,0,00:00:04.1
124,0,0,0,00:00:04.133333333333333
125,0,0,0,00:00:04.166666666666667
