Frame,Visibility,X,Y,Time
0,1,473,148,00:00:00.0
1,1,472,135,00:00:00.03333333333333333
2,1,471,126,00:00:00.06666666666666667
3,1,471,116,00:00:00.1
4,1,471,116,00:00:00.13333333333333333
5,1,471,111,00:00:00.16666666666666666
6,1,471,106,00:00:00.2
7,1,470,103,00:00:00.23333333333333334
8,1,470,102,00:00:00.26666666666666666
9,1,467,101,00:00:00.3
10,1,467,101,00:00:00.3333333333333333
11,1,467,103,00:00:00.36666666666666664
12,1,466,107,00:00:00.4
13,1,465,111,00:00:00.43333333333333335
14,1,463,118,00:00:00.4666666666666667
15,1,462,126,00:00:00.5
16,1,462,126,00:00:00.5333333333333333
17,1,461,133,00:00:00.5666666666666667
18,1,460,146,00:00:00.6
19,1,458,156,00:00:00.6333333333333333
20,1,456,170,00:00:00.6666666666666666
21,1,456,183,00:00:00.7
22,1,456,183,00:00:00.7333333333333333
23,1,453,198,00:00:00.7666666666666666
24,1,451,215,00:00:00.8
25,1,451,233,00:00:00.8333333333333334
26,1,448,251,00:00:00.8666666666666667
27,1,446,270,00:00:00.9
28,1,447,271,00:00:00.9333333333333333
29,1,446,290,00:00:00.9666666666666667
30,1,443,311,00:00:01.0
31,1,443,333,00:00:01.0333333333333332
32,1,440,351,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,0,0,0,00:00:01.1333333333333333
35,1,592,232,00:00:01.1666666666666667
36,1,627,206,00:00:01.2
37,1,653,188,00:00:01.2333333333333334
38,1,673,176,00:00:01.2666666666666666
39,1,693,167,00:00:01.3
40,1,695,166,00:00:01.3333333333333333
41,1,706,161,00:00:01.3666666666666667
42,1,721,155,00:00:01.4
43,1,732,151,00:00:01.4333333333333333
44,1,743,151,00:00:01.4666666666666666
45,1,751,151,00:00:01.5
46,1,753,151,00:00:01.5333333333333332
47,1,761,152,00:00:01.5666666666666667
48,1,770,155,00:00:01.6
49,1,776,158,00:00:01.6333333333333333
50,1,785,163,00:00:01.6666666666666667
51,1,791,168,00:00:01.7
52,1,791,168,00:00:01.7333333333333334
53,1,796,173,00:00:01.7666666666666666
54,1,801,183,00:00:01.8
55,1,808,191,00:00:01.8333333333333333
56,1,813,198,00:00:01.8666666666666667
57,1,817,208,00:00:01.9
58,1,818,210,00:00:01.9333333333333333
59,1,821,218,00:00:01.9666666666666666
60,1,826,230,00:00:02.0
61,1,831,241,00:00:02.033333333333333
62,1,836,253,00:00:02.0666666666666664
63,1,838,267,00:00:02.1
64,1,840,268,00:00:02.1333333333333333
65,1,842,278,00:00:02.1666666666666665
66,1,846,291,00:00:02.2
67,1,850,306,00:00:02.2333333333333334
68,1,851,321,00:00:02.2666666666666666
69,1,856,336,00:00:02.3
70,1,856,338,00:00:02.3333333333333335
71,1,856,351,00:00:02.3666666666666667
72,1,861,363,00:00:02.4
73,1,861,381,00:00:02.433333333333333
74,1,863,396,00:00:02.466666666666667
