Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,1,424,232,00:00:00.23333333333333334
8,1,436,204,00:00:00.26666666666666666
9,1,444,182,00:00:00.3
10,1,450,166,00:00:00.3333333333333333
11,1,450,165,00:00:00.36666666666666664
12,1,459,144,00:00:00.4
13,1,465,130,00:00:00.43333333333333335
14,1,470,120,00:00:00.4666666666666667
15,1,475,111,00:00:00.5
16,1,480,104,00:00:00.5333333333333333
17,1,480,104,00:00:00.5666666666666667
18,1,484,97,00:00:00.6
19,1,489,92,00:00:00.6333333333333333
20,1,492,89,00:00:00.6666666666666666
21,1,496,86,00:00:00.7
22,1,499,85,00:00:00.7333333333333333
23,1,500,84,00:00:00.7666666666666666
24,1,503,84,00:00:00.8
25,1,505,84,00:00:00.8333333333333334
26,1,509,85,00:00:00.8666666666666667
27,1,511,87,00:00:00.9
28,1,514,90,00:00:00.9333333333333333
29,1,514,90,00:00:00.9666666666666667
30,1,517,94,00:00:01.0
31,1,519,97,00:00:01.0333333333333332
32,1,522,102,00:00:01.0666666666666667
33,1,524,107,00:00:01.1
34,1,526,112,00:00:01.1333333333333333
35,1,527,113,00:00:01.1666666666666667
36,1,529,119,00:00:01.2
37,1,530,126,00:00:01.2333333333333334
38,1,532,134,00:00:01.2666666666666666
39,1,534,140,00:00:01.3
40,1,537,145,00:00:01.3333333333333333
41,1,538,145,00:00:01.3666666666666667
42,1,543,131,00:00:01.4
43,1,547,123,00:00:01.4333333333333333
44,1,550,117,00:00:01.4666666666666666
45,1,552,113,00:00:01.5
46,1,554,110,00:00:01.5333333333333332
47,1,554,110,00:00:01.5666666666666667
48,1,557,109,00:00:01.6
49,1,558,109,00:00:01.6333333333333333
50,1,560,109,00:00:01.6666666666666667
51,1,561,110,00:00:01.7
52,1,562,112,00:00:01.7333333333333334
53,1,564,112,00:00:01.7666666666666666
54,1,564,115,00:00:01.8
55,1,565,120,00:00:01.8333333333333333
56,1,567,124,00:00:01.8666666666666667
57,1,550,290,00:00:01.9
58,1,568,135,00:00:01.9333333333333333
59,1,567,135,00:00:01.9666666666666666
60,1,569,144,00:00:02.0
61,1,570,151,00:00:02.033333333333333
62,1,570,160,00:00:02.0666666666666664
63,1,570,170,00:00:02.1
64,1,570,180,00:00:02.1333333333333333
65,1,570,179,00:00:02.1666666666666665
66,1,570,190,00:00:02.2
67,1,570,202,00:00:02.2333333333333334
68,0,0,0,00:00:02.2666666666666666
69,1,497,432,00:00:02.3
70,1,415,233,00:00:02.3333333333333335
71,1,410,232,00:00:02.3666666666666667
72,1,387,240,00:00:02.4
73,1,372,243,00:00:02.433333333333333
74,1,354,250,00:00:02.466666666666667
75,1,342,254,00:00:02.5
76,1,332,260,00:00:02.533333333333333
77,1,331,260,00:00:02.5666666666666664
78,1,322,265,00:00:02.6
79,1,315,270,00:00:02.6333333333333333
80,1,307,277,00:00:02.6666666666666665
81,1,300,282,00:00:02.7
82,1,294,287,00:00:02.7333333333333334
83,1,293,289,00:00:02.7666666666666666
84,1,289,286,00:00:02.8
85,1,285,284,00:00:02.8333333333333335
86,0,0,0,00:00:02.8666666666666667
87,1,276,280,00:00:02.9
88,1,274,280,00:00:02.933333333333333
89,1,274,280,00:00:02.966666666666667
90,1,269,280,00:00:03.0
91,1,266,280,00:00:03.033333333333333
92,1,265,280,00:00:03.0666666666666664
93,0,0,0,00:00:03.1
94,0,0,0,00:00:03.1333333333333333
95,0,0,0,00:00:03.1666666666666665
96,0,0,0,00:00:03.2
97,0,0,0,00:00:03.2333333333333334
98,0,0,0,00:00:03.2666666666666666
