Frame,Visibility,X,Y,Time
0,1,355,15,00:00:00.0
1,1,352,15,00:00:00.03333333333333333
2,1,350,15,00:00:00.06666666666666667
3,1,359,35,00:00:00.1
4,1,355,36,00:00:00.13333333333333333
5,1,355,35,00:00:00.16666666666666666
6,1,352,35,00:00:00.2
7,1,350,35,00:00:00.23333333333333334
8,1,349,35,00:00:00.26666666666666666
9,1,809,10,00:00:00.3
10,1,804,10,00:00:00.3333333333333333
11,1,337,16,00:00:00.36666666666666664
12,1,485,229,00:00:00.4
13,1,490,232,00:00:00.43333333333333335
14,1,495,236,00:00:00.4666666666666667
15,1,500,240,00:00:00.5
16,1,504,245,00:00:00.5333333333333333
17,1,504,245,00:00:00.5666666666666667
18,1,508,254,00:00:00.6
19,1,512,260,00:00:00.6333333333333333
20,1,515,267,00:00:00.6666666666666666
21,1,520,276,00:00:00.7
22,1,523,285,00:00:00.7333333333333333
23,1,522,284,00:00:00.7666666666666666
24,1,525,295,00:00:00.8
25,1,529,305,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,529,248,00:00:00.9
28,1,527,227,00:00:00.9333333333333333
29,1,527,226,00:00:00.9666666666666667
30,1,525,207,00:00:01.0
31,1,525,192,00:00:01.0333333333333332
32,1,525,180,00:00:01.0666666666666667
33,1,524,170,00:00:01.1
34,1,524,164,00:00:01.1333333333333333
35,1,524,162,00:00:01.1666666666666667
36,1,524,155,00:00:01.2
37,1,524,150,00:00:01.2333333333333334
38,1,524,147,00:00:01.2666666666666666
39,1,524,144,00:00:01.3
40,1,523,141,00:00:01.3333333333333333
41,1,524,141,00:00:01.3666666666666667
42,1,524,140,00:00:01.4
43,1,523,140,00:00:01.4333333333333333
44,1,523,142,00:00:01.4666666666666666
45,1,523,143,00:00:01.5
46,1,523,145,00:00:01.5333333333333332
47,1,524,145,00:00:01.5666666666666667
48,1,522,149,00:00:01.6
49,1,522,152,00:00:01.6333333333333333
50,0,0,0,00:00:01.6666666666666667
51,1,499,192,00:00:01.7
52,1,432,225,00:00:01.7333333333333334
53,1,430,225,00:00:01.7666666666666666
54,1,413,243,00:00:01.8
55,1,400,257,00:00:01.8333333333333333
56,1,385,270,00:00:01.8666666666666667
57,1,372,284,00:00:01.9
58,1,362,296,00:00:01.9333333333333333
59,1,361,296,00:00:01.9666666666666666
60,1,350,310,00:00:02.0
61,1,340,324,00:00:02.033333333333333
62,1,330,337,00:00:02.0666666666666664
63,0,0,0,00:00:02.1
64,1,319,312,00:00:02.1333333333333333
65,1,320,310,00:00:02.1666666666666665
66,1,317,285,00:00:02.2
67,1,320,269,00:00:02.2333333333333334
68,1,320,256,00:00:02.2666666666666666
69,1,320,245,00:00:02.3
70,1,320,237,00:00:02.3333333333333335
71,1,320,237,00:00:02.3666666666666667
72,1,320,229,00:00:02.4
73,1,320,224,00:00:02.433333333333333
74,1,320,219,00:00:02.466666666666667
75,1,320,215,00:00:02.5
76,1,320,214,00:00:02.533333333333333
77,1,320,213,00:00:02.5666666666666664
78,1,320,212,00:00:02.6
79,1,321,212,00:00:02.6333333333333333
80,1,322,214,00:00:02.6666666666666665
81,1,322,214,00:00:02.7
82,1,323,217,00:00:02.7333333333333334
83,1,322,217,00:00:02.7666666666666666
84,1,322,220,00:00:02.8
85,1,324,224,00:00:02.8333333333333335
86,1,324,229,00:00:02.8666666666666667
87,1,325,234,00:00:02.9
88,1,325,240,00:00:02.933333333333333
89,1,326,240,00:00:02.966666666666667
90,1,326,250,00:00:03.0
91,1,327,253,00:00:03.033333333333333
92,1,330,255,00:00:03.0666666666666664
93,1,344,250,00:00:03.1
94,1,357,240,00:00:03.1333333333333333
95,1,357,240,00:00:03.1666666666666665
96,0,0,0,00:00:03.2
97,1,380,227,00:00:03.2333333333333334
98,1,390,224,00:00:03.2666666666666666
99,1,400,221,00:00:03.3
100,1,407,220,00:00:03.3333333333333335
101,1,407,220,00:00:03.3666666666666667
102,1,417,219,00:00:03.4
103,1,425,219,00:00:03.433333333333333
104,1,434,220,00:00:03.466666666666667
105,1,441,220,00:00:03.5
106,1,448,224,00:00:03.533333333333333
107,1,448,224,00:00:03.5666666666666664
108,1,455,227,00:00:03.6
109,1,462,232,00:00:03.6333333333333333
110,1,469,237,00:00:03.6666666666666665
111,1,475,244,00:00:03.6999999999999997
112,1,481,250,00:00:03.7333333333333334
113,1,482,250,00:00:03.7666666666666666
114,1,487,257,00:00:03.8
115,1,493,265,00:00:03.8333333333333335
116,1,497,275,00:00:03.8666666666666667
117,1,504,284,00:00:03.9
118,1,505,290,00:00:03.933333333333333
119,1,507,290,00:00:03.966666666666667
120,1,475,249,00:00:04.0
121,1,457,225,00:00:04.033333333333333
122,1,441,207,00:00:04.066666666666666
123,1,429,192,00:00:04.1
124,0,0,0,00:00:04.133333333333333
125,0,0,0,00:00:04.166666666666667
126,1,407,168,00:00:04.2
127,1,397,160,00:00:04.233333333333333
128,1,389,152,00:00:04.266666666666667
129,1,380,147,00:00:04.3
130,1,375,144,00:00:04.333333333333333
131,1,374,144,00:00:04.366666666666666
132,1,367,140,00:00:04.4
133,1,362,138,00:00:04.433333333333334
134,1,355,137,00:00:04.466666666666667
135,1,350,137,00:00:04.5
136,1,347,137,00:00:04.533333333333333
137,1,345,138,00:00:04.566666666666666
138,1,341,139,00:00:04.6
139,1,337,140,00:00:04.633333333333333
140,1,334,144,00:00:04.666666666666667
141,1,330,147,00:00:04.7
142,1,327,152,00:00:04.733333333333333
143,1,325,152,00:00:04.766666666666667
144,1,323,157,00:00:04.8
145,1,320,162,00:00:04.833333333333333
