Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,0,0,0,00:00:00.13333333333333333,0
5,0,0,0,00:00:00.16666666666666666,0
6,0,0,0,00:00:00.2,0
7,0,0,0,00:00:00.23333333333333334,0
8,0,0,0,00:00:00.26666666666666666,0
9,0,0,0,00:00:00.3,0
10,0,0,0,00:00:00.3333333333333333,0
11,0,0,0,00:00:00.36666666666666664,0
12,0,0,0,00:00:00.4,0
13,0,0,0,00:00:00.43333333333333335,0
14,0,0,0,00:00:00.4666666666666667,0
15,1,641,286,00:00:00.5,0
16,1,653,276,00:00:00.5333333333333333,0
17,1,665,266,00:00:00.5666666666666667,0
18,1,676,257,00:00:00.6,0
19,1,676,256,00:00:00.6333333333333333,0
20,1,685,252,00:00:00.6666666666666666,0
21,1,696,248,00:00:00.7,0
22,1,706,246,00:00:00.7333333333333333,0
23,1,713,246,00:00:00.7666666666666666,0
24,1,721,246,00:00:00.8,0
25,1,722,246,00:00:00.8333333333333334,0
26,1,730,248,00:00:00.8666666666666667,0
27,1,738,251,00:00:00.9,0
28,1,746,258,00:00:00.9333333333333333,0
29,1,753,266,00:00:00.9666666666666667,0
30,1,760,273,00:00:01.0,0
31,1,761,273,00:00:01.0333333333333332,0
32,1,766,281,00:00:01.0666666666666667,0
33,1,773,293,00:00:01.1,0
34,1,781,306,00:00:01.1333333333333333,0
35,1,786,321,00:00:01.1666666666666667,0
36,1,791,337,00:00:01.2,0
37,1,792,337,00:00:01.2333333333333334,0
38,1,796,351,00:00:01.2666666666666666,0
39,1,801,367,00:00:01.3,0
40,1,806,386,00:00:01.3333333333333333,0
41,1,811,402,00:00:01.3666666666666667,0
42,1,801,380,00:00:01.4,0
43,1,801,376,00:00:01.4333333333333333,1
44,1,793,358,00:00:01.4666666666666666,0
45,1,786,346,00:00:01.5,0
46,1,783,337,00:00:01.5333333333333332,0
47,1,781,331,00:00:01.5666666666666667,0
48,1,780,331,00:00:01.6,0
49,1,780,330,00:00:01.6333333333333333,0
50,1,778,328,00:00:01.6666666666666667,0
51,1,775,330,00:00:01.7,0
52,1,773,330,00:00:01.7333333333333334,0
53,1,772,333,00:00:01.7666666666666666,0
54,0,0,0,00:00:01.8,0
55,0,0,0,00:00:01.8333333333333333,0
56,0,0,0,00:00:01.8666666666666667,0
57,1,781,328,00:00:01.9,1
58,1,786,322,00:00:01.9333333333333333,0
59,1,791,321,00:00:01.9666666666666666,0
60,1,793,321,00:00:02.0,0
61,1,796,321,00:00:02.033333333333333,0
62,1,801,321,00:00:02.0666666666666664,0
63,1,803,325,00:00:02.1,0
64,1,807,327,00:00:02.1333333333333333,0
65,1,811,331,00:00:02.1666666666666665,0
66,1,815,338,00:00:02.2,0
67,1,816,338,00:00:02.2333333333333334,0
68,1,816,346,00:00:02.2666666666666666,0
69,1,821,353,00:00:02.3,0
70,1,823,363,00:00:02.3333333333333335,0
71,1,826,373,00:00:02.3666666666666667,0
72,1,828,383,00:00:02.4,0
73,1,828,385,00:00:02.433333333333333,0
74,1,830,396,00:00:02.466666666666667,0
75,1,832,407,00:00:02.5,0
76,1,833,426,00:00:02.533333333333333,0
77,1,836,438,00:00:02.5666666666666664,0
78,1,836,451,00:00:02.6,0
79,1,836,451,00:00:02.6333333333333333,0
80,1,803,425,00:00:02.6666666666666665,1
81,1,783,402,00:00:02.7,0
82,1,766,383,00:00:02.7333333333333334,0
83,1,753,371,00:00:02.7666666666666666,0
84,1,738,363,00:00:02.8,0
85,1,738,361,00:00:02.8333333333333335,0
86,1,725,353,00:00:02.8666666666666667,0
87,1,713,348,00:00:02.9,0
88,1,702,343,00:00:02.933333333333333,0
89,0,0,0,00:00:02.966666666666667,0
90,0,0,0,00:00:03.0,0
91,0,0,0,00:00:03.033333333333333,0
92,0,0,0,00:00:03.0666666666666664,0
93,0,0,0,00:00:03.1,0
94,0,0,0,00:00:03.1333333333333333,0
95,0,0,0,00:00:03.1666666666666665,0
96,0,0,0,00:00:03.2,0
97,0,0,0,00:00:03.2333333333333334,0
98,0,0,0,00:00:03.2666666666666666,0
99,1,626,363,00:00:03.3,0
100,0,0,0,00:00:03.3333333333333335,0
101,0,0,0,00:00:03.3666666666666667,0
102,0,0,0,00:00:03.4,0
103,0,0,0,00:00:03.433333333333333,0
104,0,0,0,00:00:03.466666666666667,1
105,0,0,0,00:00:03.5,0
106,1,677,352,00:00:03.533333333333333,0
107,1,690,355,00:00:03.5666666666666664,0
108,1,701,357,00:00:03.6,0
109,1,702,356,00:00:03.6333333333333333,0
110,1,708,362,00:00:03.6666666666666665,0
111,1,721,363,00:00:03.6999999999999997,0
112,1,731,366,00:00:03.7333333333333334,0
113,1,742,371,00:00:03.7666666666666666,0
114,1,748,378,00:00:03.8,0
115,1,751,378,00:00:03.8333333333333335,0
116,1,756,386,00:00:03.8666666666666667,0
117,1,763,396,00:00:03.9,0
118,1,768,406,00:00:03.933333333333333,0
119,1,776,417,00:00:03.966666666666667,0
120,1,782,427,00:00:04.0,0
121,1,783,431,00:00:04.033333333333333,0
122,1,791,441,00:00:04.066666666666666,0
123,1,797,456,00:00:04.1,0
124,1,806,470,00:00:04.133333333333333,0
125,1,811,486,00:00:04.166666666666667,0
126,0,0,0,00:00:04.2,0
127,0,0,0,00:00:04.233333333333333,0
128,1,766,403,00:00:04.266666666666667,1
129,1,725,335,00:00:04.3,0
130,1,702,295,00:00:04.333333333333333,0
131,1,683,266,00:00:04.366666666666666,0
132,1,665,235,00:00:04.4,0
133,1,663,233,00:00:04.433333333333334,0
134,1,648,211,00:00:04.466666666666667,0
135,1,633,191,00:00:04.5,0
136,1,622,176,00:00:04.533333333333333,0
137,1,610,161,00:00:04.566666666666666,0
138,1,600,150,00:00:04.6,0
139,1,600,151,00:00:04.633333333333333,0
140,1,590,141,00:00:04.666666666666667,0
141,1,581,133,00:00:04.7,0
142,1,573,127,00:00:04.733333333333333,0
143,1,565,123,00:00:04.766666666666667,0
144,1,558,121,00:00:04.8,0
145,1,558,121,00:00:04.833333333333333,0
146,1,551,118,00:00:04.866666666666666,0
147,1,546,118,00:00:04.9,0
148,1,538,121,00:00:04.933333333333334,0
149,1,533,123,00:00:04.966666666666667,0
150,1,528,126,00:00:05.0,0
151,1,527,126,00:00:05.033333333333333,0
152,1,523,131,00:00:05.066666666666666,0
153,1,518,136,00:00:05.1,0
