Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,0,0,0,00:00:00.13333333333333333,0
5,0,0,0,00:00:00.16666666666666666,0
6,0,0,0,00:00:00.2,0
7,0,0,0,00:00:00.23333333333333334,0
8,0,0,0,00:00:00.26666666666666666,0
9,1,691,285,00:00:00.3,0
10,1,668,282,00:00:00.3333333333333333,0
11,1,648,281,00:00:00.36666666666666664,0
12,1,632,282,00:00:00.4,0
13,0,0,0,00:00:00.43333333333333335,0
14,0,0,0,00:00:00.4666666666666667,0
15,1,597,286,00:00:00.5,0
16,1,583,291,00:00:00.5333333333333333,0
17,1,568,296,00:00:00.5666666666666667,0
18,1,555,301,00:00:00.6,0
19,0,0,0,00:00:00.6333333333333333,0
20,0,0,0,00:00:00.6666666666666666,1
21,0,0,0,00:00:00.7,0
22,0,0,0,00:00:00.7333333333333333,0
23,0,0,0,00:00:00.7666666666666666,0
24,1,561,283,00:00:00.8,0
25,1,568,275,00:00:00.8333333333333334,0
26,1,570,275,00:00:00.8666666666666667,0
27,1,578,266,00:00:00.9,0
28,1,588,261,00:00:00.9333333333333333,0
29,1,596,258,00:00:00.9666666666666667,0
30,1,603,256,00:00:01.0,0
31,1,610,253,00:00:01.0333333333333332,0
32,1,608,253,00:00:01.0666666666666667,0
33,1,616,251,00:00:01.1,0
34,1,623,253,00:00:01.1333333333333333,0
35,1,631,256,00:00:01.1666666666666667,0
36,1,638,258,00:00:01.2,0
37,1,643,262,00:00:01.2333333333333334,0
38,1,645,263,00:00:01.2666666666666666,0
39,1,651,268,00:00:01.3,0
40,1,656,276,00:00:01.3333333333333333,0
41,1,661,285,00:00:01.3666666666666667,0
42,1,666,293,00:00:01.4,0
43,1,671,301,00:00:01.4333333333333333,0
44,1,671,301,00:00:01.4666666666666666,0
45,1,676,311,00:00:01.5,0
46,1,677,321,00:00:01.5333333333333332,0
47,1,673,322,00:00:01.5666666666666667,1
48,0,0,0,00:00:01.6,0
49,0,0,0,00:00:01.6333333333333333,0
50,0,0,0,00:00:01.6666666666666667,0
51,1,556,201,00:00:01.7,0
52,1,527,173,00:00:01.7333333333333334,0
53,1,497,147,00:00:01.7666666666666666,0
54,1,470,125,00:00:01.8,0
55,0,0,0,00:00:01.8333333333333333,0
56,0,0,0,00:00:01.8666666666666667,0
57,0,0,0,00:00:01.9,0
58,0,0,0,00:00:01.9333333333333333,0
59,0,0,0,00:00:01.9666666666666666,0
60,0,0,0,00:00:02.0,0
61,0,0,0,00:00:02.033333333333333,0
62,0,0,0,00:00:02.0666666666666664,0
63,1,305,25,00:00:02.1,0
64,1,285,18,00:00:02.1333333333333333,0
65,1,266,15,00:00:02.1666666666666665,0
66,1,246,8,00:00:02.2,0
67,0,0,0,00:00:02.2333333333333334,0
68,0,0,0,00:00:02.2666666666666666,0
69,1,206,10,00:00:02.3,0
70,1,185,11,00:00:02.3333333333333335,0
71,0,0,0,00:00:02.3666666666666667,0
72,1,148,18,00:00:02.4,0
73,1,133,23,00:00:02.433333333333333,0
74,1,131,22,00:00:02.466666666666667,0
75,1,116,36,00:00:02.5,0
76,1,98,47,00:00:02.533333333333333,0
77,1,83,57,00:00:02.5666666666666664,0
78,1,73,71,00:00:02.6,0
79,0,0,0,00:00:02.6333333333333333,0
80,0,0,0,00:00:02.6666666666666665,0
81,0,0,0,00:00:02.7,1
82,0,0,0,00:00:02.7333333333333334,0
83,0,0,0,00:00:02.7666666666666666,0
84,0,0,0,00:00:02.8,0
85,0,0,0,00:00:02.8333333333333335,0
86,0,0,0,00:00:02.8666666666666667,0
87,0,0,0,00:00:02.9,0
88,0,0,0,00:00:02.933333333333333,0
89,0,0,0,00:00:02.966666666666667,0
90,0,0,0,00:00:03.0,0
91,0,0,0,00:00:03.033333333333333,0
92,0,0,0,00:00:03.0666666666666664,0
93,0,0,0,00:00:03.1,0
94,0,0,0,00:00:03.1333333333333333,0
95,0,0,0,00:00:03.1666666666666665,1
96,0,0,0,00:00:03.2,0
97,0,0,0,00:00:03.2333333333333334,0
98,0,0,0,00:00:03.2666666666666666,0
99,1,871,286,00:00:03.3,0
100,1,827,270,00:00:03.3333333333333335,0
101,1,786,255,00:00:03.3666666666666667,0
102,1,747,243,00:00:03.4,0
103,0,0,0,00:00:03.433333333333333,0
104,0,0,0,00:00:03.466666666666667,0
105,1,680,231,00:00:03.5,0
106,1,648,226,00:00:03.533333333333333,0
107,1,616,225,00:00:03.5666666666666664,0
108,1,591,225,00:00:03.6,0
109,1,566,225,00:00:03.6333333333333333,0
110,1,563,225,00:00:03.6666666666666665,0
111,1,536,231,00:00:03.6999999999999997,0
112,1,512,235,00:00:03.7333333333333334,0
113,1,491,242,00:00:03.7666666666666666,0
114,1,470,251,00:00:03.8,0
115,1,453,257,00:00:03.8333333333333335,0
116,1,451,257,00:00:03.8666666666666667,0
117,1,430,273,00:00:03.9,0
118,1,411,287,00:00:03.933333333333333,0
119,1,396,298,00:00:03.966666666666667,0
120,1,382,312,00:00:04.0,0
121,0,0,0,00:00:04.033333333333333,0
122,0,0,0,00:00:04.066666666666666,1
123,0,0,0,00:00:04.1,0
124,0,0,0,00:00:04.133333333333333,0
125,1,427,313,00:00:04.166666666666667,0
126,1,455,296,00:00:04.2,0
127,1,486,283,00:00:04.233333333333333,0
128,1,485,281,00:00:04.266666666666667,0
129,1,515,276,00:00:04.3,0
130,1,542,272,00:00:04.333333333333333,0
131,1,565,271,00:00:04.366666666666666,0
132,1,587,270,00:00:04.4,0
133,1,607,270,00:00:04.433333333333334,0
134,1,607,268,00:00:04.466666666666667,0
135,1,628,271,00:00:04.5,0
136,1,646,276,00:00:04.533333333333333,0
137,1,665,278,00:00:04.566666666666666,0
138,1,680,285,00:00:04.6,0
139,1,693,291,00:00:04.633333333333333,0
140,1,692,291,00:00:04.666666666666667,0
141,1,711,300,00:00:04.7,0
142,1,725,311,00:00:04.733333333333333,0
143,1,736,321,00:00:04.766666666666667,0
144,1,747,331,00:00:04.8,0
145,1,760,345,00:00:04.833333333333333,0
146,1,760,345,00:00:04.866666666666666,1
147,1,771,356,00:00:04.9,0
148,1,781,371,00:00:04.933333333333334,0
149,1,788,383,00:00:04.966666666666667,0
150,0,0,0,00:00:05.0,0
151,0,0,0,00:00:05.033333333333333,0
152,0,0,0,00:00:05.066666666666666,0
153,1,735,327,00:00:05.1,0
