Frame,Visibility,X,Y,Time
0,1,578,31,00:00:00.0
1,1,576,31,00:00:00.03333333333333333
2,1,572,30,00:00:00.06666666666666667
3,1,568,31,00:00:00.1
4,1,566,30,00:00:00.13333333333333333
5,1,562,30,00:00:00.16666666666666666
6,1,563,30,00:00:00.2
7,1,561,30,00:00:00.23333333333333334
8,1,557,30,00:00:00.26666666666666666
9,1,556,28,00:00:00.3
10,1,553,30,00:00:00.3333333333333333
11,1,553,28,00:00:00.36666666666666664
12,1,551,30,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,1,588,368,00:00:00.6
19,1,582,361,00:00:00.6333333333333333
20,1,578,355,00:00:00.6666666666666666
21,1,576,351,00:00:00.7
22,1,658,353,00:00:00.7333333333333333
23,1,661,358,00:00:00.7666666666666666
24,1,570,351,00:00:00.8
25,1,567,351,00:00:00.8333333333333334
26,1,566,353,00:00:00.8666666666666667
27,1,561,356,00:00:00.9
28,1,560,361,00:00:00.9333333333333333
29,1,556,368,00:00:00.9666666666666667
30,1,556,368,00:00:01.0
31,1,555,376,00:00:01.0333333333333332
32,1,552,383,00:00:01.0666666666666667
33,1,550,395,00:00:01.1
34,1,546,406,00:00:01.1333333333333333
35,1,545,417,00:00:01.1666666666666667
36,1,543,416,00:00:01.2
37,1,541,430,00:00:01.2333333333333334
38,0,0,0,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,1,523,360,00:00:01.3666666666666667
42,1,525,358,00:00:01.4
43,1,518,303,00:00:01.4333333333333333
44,1,515,261,00:00:01.4666666666666666
45,1,510,222,00:00:01.5
46,1,506,193,00:00:01.5333333333333332
47,1,503,168,00:00:01.5666666666666667
48,1,503,168,00:00:01.6
49,1,501,148,00:00:01.6333333333333333
50,1,500,131,00:00:01.6666666666666667
51,1,498,116,00:00:01.7
52,1,496,103,00:00:01.7333333333333334
53,1,496,93,00:00:01.7666666666666666
54,1,496,93,00:00:01.8
55,1,493,86,00:00:01.8333333333333333
56,1,493,78,00:00:01.8666666666666667
57,1,493,73,00:00:01.9
58,1,492,70,00:00:01.9333333333333333
59,1,493,68,00:00:01.9666666666666666
60,0,0,0,00:00:02.0
61,0,0,0,00:00:02.033333333333333
62,0,0,0,00:00:02.0666666666666664
63,1,491,70,00:00:02.1
64,1,491,72,00:00:02.1333333333333333
65,1,491,76,00:00:02.1666666666666665
66,1,491,76,00:00:02.2
67,1,491,81,00:00:02.2333333333333334
68,1,493,88,00:00:02.2666666666666666
69,1,493,96,00:00:02.3
70,1,493,103,00:00:02.3333333333333335
71,1,496,111,00:00:02.3666666666666667
72,1,496,111,00:00:02.4
73,1,496,121,00:00:02.433333333333333
74,1,496,131,00:00:02.466666666666667
75,1,497,143,00:00:02.5
76,1,498,156,00:00:02.533333333333333
77,1,498,168,00:00:02.5666666666666664
78,1,498,167,00:00:02.6
79,1,501,181,00:00:02.6333333333333333
80,1,501,193,00:00:02.6666666666666665
81,1,501,207,00:00:02.7
82,1,501,221,00:00:02.7333333333333334
83,1,503,203,00:00:02.7666666666666666
84,1,502,205,00:00:02.8
85,1,501,178,00:00:02.8333333333333335
86,1,502,156,00:00:02.8666666666666667
87,1,501,138,00:00:02.9
88,1,500,123,00:00:02.933333333333333
89,1,498,113,00:00:02.966666666666667
90,1,500,113,00:00:03.0
91,1,498,106,00:00:03.033333333333333
92,1,498,100,00:00:03.0666666666666664
93,1,498,96,00:00:03.1
94,1,498,91,00:00:03.1333333333333333
95,1,497,91,00:00:03.1666666666666665
96,1,497,91,00:00:03.2
97,1,496,90,00:00:03.2333333333333334
98,1,496,92,00:00:03.2666666666666666
99,1,496,96,00:00:03.3
100,1,495,100,00:00:03.3333333333333335
101,1,493,106,00:00:03.3666666666666667
102,1,493,106,00:00:03.4
103,1,491,111,00:00:03.433333333333333
104,1,491,121,00:00:03.466666666666667
105,1,490,131,00:00:03.5
106,1,488,141,00:00:03.533333333333333
107,1,487,153,00:00:03.5666666666666664
108,1,487,152,00:00:03.6
109,1,486,166,00:00:03.6333333333333333
110,1,486,181,00:00:03.6666666666666665
111,1,483,196,00:00:03.6999999999999997
112,1,481,213,00:00:03.7333333333333334
113,1,481,231,00:00:03.7666666666666666
114,1,480,231,00:00:03.8
115,1,478,248,00:00:03.8333333333333335
116,1,476,268,00:00:03.8666666666666667
117,1,476,288,00:00:03.9
118,1,473,308,00:00:03.933333333333333
119,1,471,331,00:00:03.966666666666667
120,1,471,331,00:00:04.0
121,1,471,351,00:00:04.033333333333333
122,1,468,335,00:00:04.066666666666666
123,1,473,273,00:00:04.1
124,1,475,230,00:00:04.133333333333333
125,1,475,201,00:00:04.166666666666667
126,1,475,201,00:00:04.2
127,1,476,178,00:00:04.233333333333333
128,1,476,162,00:00:04.266666666666667
129,1,478,148,00:00:04.3
130,1,480,138,00:00:04.333333333333333
131,1,480,131,00:00:04.366666666666666
132,1,481,131,00:00:04.4
133,1,481,126,00:00:04.433333333333334
134,1,481,123,00:00:04.466666666666667
135,1,483,121,00:00:04.5
136,1,483,121,00:00:04.533333333333333
137,1,486,121,00:00:04.566666666666666
138,1,486,121,00:00:04.6
139,1,486,122,00:00:04.633333333333333
140,1,488,126,00:00:04.666666666666667
141,1,490,131,00:00:04.7
142,1,491,136,00:00:04.733333333333333
143,1,491,141,00:00:04.766666666666667
144,1,491,141,00:00:04.8
145,1,493,146,00:00:04.833333333333333
146,1,493,156,00:00:04.866666666666666
147,1,496,163,00:00:04.9
148,1,496,171,00:00:04.933333333333334
149,1,498,181,00:00:04.966666666666667
150,1,498,181,00:00:05.0
151,1,501,193,00:00:05.033333333333333
152,1,501,203,00:00:05.066666666666666
153,1,503,216,00:00:05.1
154,1,503,228,00:00:05.133333333333333
155,1,506,241,00:00:05.166666666666667
156,1,506,241,00:00:05.2
157,0,0,0,00:00:05.233333333333333
158,0,0,0,00:00:05.266666666666667
159,0,0,0,00:00:05.3
160,1,603,286,00:00:05.333333333333333
161,1,622,296,00:00:05.366666666666666
162,1,623,296,00:00:05.4
163,1,642,306,00:00:05.433333333333334
164,1,658,316,00:00:05.466666666666667
165,1,673,326,00:00:05.5
166,1,686,337,00:00:05.533333333333333
167,1,700,350,00:00:05.566666666666666
168,1,701,348,00:00:05.6
169,1,711,361,00:00:05.633333333333333
170,1,721,376,00:00:05.666666666666667
171,1,732,388,00:00:05.7
172,1,741,402,00:00:05.733333333333333
173,1,751,418,00:00:05.766666666666667
174,1,751,418,00:00:05.8
175,1,758,435,00:00:05.833333333333333
176,1,766,451,00:00:05.866666666666666
177,1,771,468,00:00:05.9
178,1,780,485,00:00:05.933333333333334
179,1,740,421,00:00:05.966666666666667
180,1,737,420,00:00:06.0
181,1,708,361,00:00:06.033333333333333
182,1,687,321,00:00:06.066666666666666
183,1,666,286,00:00:06.1
184,1,652,262,00:00:06.133333333333333
185,1,637,238,00:00:06.166666666666667
186,1,636,238,00:00:06.2
187,1,625,222,00:00:06.233333333333333
188,1,613,208,00:00:06.266666666666667
189,1,602,196,00:00:06.3
190,1,593,186,00:00:06.333333333333333
191,1,585,181,00:00:06.366666666666666
192,1,585,180,00:00:06.4
193,1,577,173,00:00:06.433333333333334
194,1,568,171,00:00:06.466666666666667
195,1,563,167,00:00:06.5
196,1,556,166,00:00:06.533333333333333
197,1,551,166,00:00:06.566666666666666
198,1,550,166,00:00:06.6
199,1,546,167,00:00:06.633333333333333
200,1,541,171,00:00:06.666666666666667
201,1,536,173,00:00:06.7
202,1,532,178,00:00:06.733333333333333
203,1,528,183,00:00:06.766666666666667
204,1,528,183,00:00:06.8
205,1,526,191,00:00:06.833333333333333
206,1,521,198,00:00:06.866666666666666
207,1,518,206,00:00:06.8999999999999995
208,1,516,216,00:00:06.933333333333334
209,1,513,226,00:00:06.966666666666667
210,1,513,226,00:00:07.0
211,1,511,236,00:00:07.033333333333333
212,1,507,245,00:00:07.066666666666666
213,1,506,257,00:00:07.1
