Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,1,621,478,00:00:00.5
16,1,621,476,00:00:00.5333333333333333
17,1,621,476,00:00:00.5666666666666667
18,0,0,0,00:00:00.6
19,0,0,0,00:00:00.6333333333333333
20,0,0,0,00:00:00.6666666666666666
21,1,611,428,00:00:00.7
22,0,0,0,00:00:00.7333333333333333
23,0,0,0,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,0,0,0,00:00:00.9
28,1,590,348,00:00:00.9333333333333333
29,1,588,346,00:00:00.9666666666666667
30,0,0,0,00:00:01.0
31,0,0,0,00:00:01.0333333333333332
32,0,0,0,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,0,0,0,00:00:01.1333333333333333
35,0,0,0,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,0,0,0,00:00:01.2333333333333334
38,0,0,0,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,0,0,0,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,1,560,348,00:00:01.5
46,1,552,341,00:00:01.5333333333333332
47,1,546,333,00:00:01.5666666666666667
48,1,540,328,00:00:01.6
49,1,538,328,00:00:01.6333333333333333
50,1,533,325,00:00:01.6666666666666667
51,1,525,321,00:00:01.7
52,1,521,321,00:00:01.7333333333333334
53,1,515,322,00:00:01.7666666666666666
54,1,511,323,00:00:01.8
55,1,511,326,00:00:01.8333333333333333
56,1,506,327,00:00:01.8666666666666667
57,1,501,333,00:00:01.9
58,1,495,340,00:00:01.9333333333333333
59,1,488,346,00:00:01.9666666666666666
60,1,483,356,00:00:02.0
61,1,483,357,00:00:02.033333333333333
62,1,478,366,00:00:02.0666666666666664
63,1,473,376,00:00:02.1
64,1,468,388,00:00:02.1333333333333333
65,1,463,401,00:00:02.1666666666666665
66,1,461,416,00:00:02.2
67,1,461,418,00:00:02.2333333333333334
68,1,456,432,00:00:02.2666666666666666
69,0,0,0,00:00:02.3
70,1,513,346,00:00:02.3333333333333335
71,1,541,306,00:00:02.3666666666666667
72,1,562,275,00:00:02.4
73,1,562,272,00:00:02.433333333333333
74,1,578,248,00:00:02.466666666666667
75,1,596,223,00:00:02.5
76,1,611,206,00:00:02.533333333333333
77,1,623,191,00:00:02.5666666666666664
78,1,635,180,00:00:02.6
79,1,635,177,00:00:02.6333333333333333
80,1,646,168,00:00:02.6666666666666665
81,1,656,161,00:00:02.7
82,1,666,153,00:00:02.7333333333333334
83,1,673,150,00:00:02.7666666666666666
84,1,681,146,00:00:02.8
85,1,682,146,00:00:02.8333333333333335
86,1,688,146,00:00:02.8666666666666667
87,1,697,146,00:00:02.9
88,1,703,146,00:00:02.933333333333333
89,1,711,148,00:00:02.966666666666667
90,1,715,152,00:00:03.0
91,1,716,152,00:00:03.033333333333333
92,1,721,156,00:00:03.0666666666666664
93,1,726,161,00:00:03.1
94,1,733,168,00:00:03.1333333333333333
95,1,738,176,00:00:03.1666666666666665
96,1,742,183,00:00:03.2
97,1,743,186,00:00:03.2333333333333334
98,1,747,193,00:00:03.2666666666666666
99,1,751,203,00:00:03.3
100,1,756,215,00:00:03.3333333333333335
101,0,0,0,00:00:03.3666666666666667
102,0,0,0,00:00:03.4
103,0,0,0,00:00:03.433333333333333
104,0,0,0,00:00:03.466666666666667
105,0,0,0,00:00:03.5
106,1,681,383,00:00:03.533333333333333
107,0,0,0,00:00:03.5666666666666664
108,0,0,0,00:00:03.6
109,0,0,0,00:00:03.6333333333333333
110,1,652,447,00:00:03.6666666666666665
111,1,643,466,00:00:03.6999999999999997
112,1,635,490,00:00:03.7333333333333334
113,0,0,0,00:00:03.7666666666666666
114,1,611,430,00:00:03.8
115,1,610,426,00:00:03.8333333333333335
116,1,603,391,00:00:03.8666666666666667
117,1,593,363,00:00:03.9
118,1,585,342,00:00:03.933333333333333
119,1,578,321,00:00:03.966666666666667
120,1,572,307,00:00:04.0
121,1,571,306,00:00:04.033333333333333
122,1,568,296,00:00:04.066666666666666
123,1,562,283,00:00:04.1
124,1,558,276,00:00:04.133333333333333
125,1,553,271,00:00:04.166666666666667
126,1,550,266,00:00:04.2
127,1,550,266,00:00:04.233333333333333
128,1,546,263,00:00:04.266666666666667
129,1,542,261,00:00:04.3
130,1,540,262,00:00:04.333333333333333
131,1,536,263,00:00:04.366666666666666
132,1,533,266,00:00:04.4
133,1,533,266,00:00:04.433333333333334
134,1,531,268,00:00:04.466666666666667
135,1,528,275,00:00:04.5
136,1,526,281,00:00:04.533333333333333
137,1,523,288,00:00:04.566666666666666
138,1,521,296,00:00:04.6
139,1,521,298,00:00:04.633333333333333
140,1,521,306,00:00:04.666666666666667
141,1,518,316,00:00:04.7
142,1,516,328,00:00:04.733333333333333
143,1,516,341,00:00:04.766666666666667
144,1,516,351,00:00:04.8
145,1,513,355,00:00:04.833333333333333
146,1,513,363,00:00:04.866666666666666
147,1,511,378,00:00:04.9
148,1,511,392,00:00:04.933333333333334
149,1,510,398,00:00:04.966666666666667
150,1,505,388,00:00:05.0
151,1,503,386,00:00:05.033333333333333
152,1,501,372,00:00:05.066666666666666
153,1,500,361,00:00:05.1
154,1,501,356,00:00:05.133333333333333
155,1,498,351,00:00:05.166666666666667
156,1,496,346,00:00:05.2
157,1,496,343,00:00:05.233333333333333
158,1,493,341,00:00:05.266666666666667
159,1,491,338,00:00:05.3
160,1,488,336,00:00:05.333333333333333
161,1,486,337,00:00:05.366666666666666
162,1,486,337,00:00:05.4
163,1,486,337,00:00:05.433333333333334
164,1,486,340,00:00:05.466666666666667
165,1,483,342,00:00:05.5
166,1,481,348,00:00:05.533333333333333
167,1,478,356,00:00:05.566666666666666
168,1,476,363,00:00:05.6
169,1,476,365,00:00:05.633333333333333
170,1,473,373,00:00:05.666666666666667
171,1,471,383,00:00:05.7
172,1,468,396,00:00:05.733333333333333
173,1,467,411,00:00:05.766666666666667
174,1,466,422,00:00:05.8
175,1,466,425,00:00:05.833333333333333
176,1,465,437,00:00:05.866666666666666
177,1,586,332,00:00:05.9
178,0,0,0,00:00:05.933333333333334
179,1,460,338,00:00:05.966666666666667
180,1,458,282,00:00:06.0
181,0,0,0,00:00:06.033333333333333
182,1,455,227,00:00:06.066666666666666
183,1,453,186,00:00:06.1
184,1,451,151,00:00:06.133333333333333
185,1,450,121,00:00:06.166666666666667
186,1,453,100,00:00:06.2
187,1,451,98,00:00:06.233333333333333
188,0,0,0,00:00:06.266666666666667
189,0,0,0,00:00:06.3
190,1,446,36,00:00:06.333333333333333
191,1,446,21,00:00:06.366666666666666
192,1,446,8,00:00:06.4
193,1,445,6,00:00:06.433333333333334
194,1,445,5,00:00:06.466666666666667
195,0,0,0,00:00:06.5
196,0,0,0,00:00:06.533333333333333
197,0,0,0,00:00:06.566666666666666
198,0,0,0,00:00:06.6
199,0,0,0,00:00:06.633333333333333
200,0,0,0,00:00:06.666666666666667
201,0,0,0,00:00:06.7
202,0,0,0,00:00:06.733333333333333
203,0,0,0,00:00:06.766666666666667
204,0,0,0,00:00:06.8
205,0,0,0,00:00:06.833333333333333
206,0,0,0,00:00:06.866666666666666
207,0,0,0,00:00:06.8999999999999995
208,0,0,0,00:00:06.933333333333334
209,1,448,5,00:00:06.966666666666667
210,1,450,13,00:00:07.0
211,1,451,12,00:00:07.033333333333333
212,1,451,21,00:00:07.066666666666666
213,1,451,32,00:00:07.1
214,1,452,41,00:00:07.133333333333333
215,1,503,233,00:00:07.166666666666667
216,0,0,0,00:00:07.2
217,0,0,0,00:00:07.233333333333333
218,0,0,0,00:00:07.266666666666667
219,1,456,97,00:00:07.3
220,1,456,112,00:00:07.333333333333333
221,1,458,128,00:00:07.366666666666666
222,1,461,143,00:00:07.3999999999999995
223,1,460,145,00:00:07.433333333333334
224,1,461,158,00:00:07.466666666666667
225,1,461,175,00:00:07.5
226,1,462,191,00:00:07.533333333333333
227,1,458,285,00:00:07.566666666666666
228,0,0,0,00:00:07.6
229,0,0,0,00:00:07.633333333333333
230,1,460,366,00:00:07.666666666666667
231,1,461,398,00:00:07.7
232,1,460,427,00:00:07.733333333333333
233,1,460,456,00:00:07.766666666666667
234,1,461,482,00:00:07.8
235,1,461,483,00:00:07.833333333333333
236,1,460,506,00:00:07.866666666666666
237,1,460,525,00:00:07.8999999999999995
238,1,466,467,00:00:07.933333333333334
239,1,481,433,00:00:07.966666666666667
240,1,483,403,00:00:08.0
241,0,0,0,00:00:08.033333333333333
242,0,0,0,00:00:08.066666666666666
243,0,0,0,00:00:08.1
244,0,0,0,00:00:08.133333333333333
245,0,0,0,00:00:08.166666666666666
246,0,0,0,00:00:08.2
247,0,0,0,00:00:08.233333333333333
248,0,0,0,00:00:08.266666666666666
249,0,0,0,00:00:08.3
250,0,0,0,00:00:08.333333333333334
251,0,0,0,00:00:08.366666666666667
252,0,0,0,00:00:08.4
253,0,0,0,00:00:08.433333333333334
254,0,0,0,00:00:08.466666666666667
255,1,581,386,00:00:08.5
256,1,581,386,00:00:08.533333333333333
257,0,0,0,00:00:08.566666666666666
258,0,0,0,00:00:08.6
259,0,0,0,00:00:08.633333333333333
260,0,0,0,00:00:08.666666666666666
261,1,545,336,00:00:08.7
262,1,546,346,00:00:08.733333333333333
263,1,546,356,00:00:08.766666666666666
264,0,0,0,00:00:08.8
265,0,0,0,00:00:08.833333333333334
266,1,550,378,00:00:08.866666666666667
267,0,0,0,00:00:08.9
268,0,0,0,00:00:08.933333333333334
269,0,0,0,00:00:08.966666666666667
270,0,0,0,00:00:09.0
271,0,0,0,00:00:09.033333333333333
272,1,516,348,00:00:09.066666666666666
