Frame,Visibility,X,Y,Time
0,1,361,16,00:00:00.0
1,1,362,15,00:00:00.03333333333333333
2,1,365,15,00:00:00.06666666666666667
3,1,363,15,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,1,623,351,00:00:00.4
13,1,627,348,00:00:00.43333333333333335
14,1,631,346,00:00:00.4666666666666667
15,1,631,346,00:00:00.5
16,1,633,346,00:00:00.5333333333333333
17,1,636,347,00:00:00.5666666666666667
18,1,635,353,00:00:00.6
19,1,637,357,00:00:00.6333333333333333
20,1,638,360,00:00:00.6666666666666666
21,0,0,0,00:00:00.7
22,0,0,0,00:00:00.7333333333333333
23,0,0,0,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,0,0,0,00:00:00.9
28,0,0,0,00:00:00.9333333333333333
29,0,0,0,00:00:00.9666666666666667
30,1,690,352,00:00:01.0
31,1,695,345,00:00:01.0333333333333332
32,1,702,338,00:00:01.0666666666666667
33,1,711,333,00:00:01.1
34,1,711,333,00:00:01.1333333333333333
35,1,721,331,00:00:01.1666666666666667
36,1,731,327,00:00:01.2
37,1,738,326,00:00:01.2333333333333334
38,1,746,328,00:00:01.2666666666666666
39,1,751,330,00:00:01.3
40,1,753,330,00:00:01.3333333333333333
41,1,760,333,00:00:01.3666666666666667
42,1,766,338,00:00:01.4
43,1,775,346,00:00:01.4333333333333333
44,1,781,353,00:00:01.4666666666666666
45,1,786,362,00:00:01.5
46,1,788,363,00:00:01.5333333333333332
47,1,793,371,00:00:01.5666666666666667
48,1,798,382,00:00:01.6
49,1,806,396,00:00:01.6333333333333333
50,1,811,408,00:00:01.6666666666666667
51,1,816,422,00:00:01.7
52,1,816,425,00:00:01.7333333333333334
53,1,821,436,00:00:01.7666666666666666
54,1,826,453,00:00:01.8
55,1,831,471,00:00:01.8333333333333333
56,1,828,431,00:00:01.8666666666666667
57,1,816,380,00:00:01.9
58,0,0,0,00:00:01.9333333333333333
59,1,808,327,00:00:01.9666666666666666
60,1,801,291,00:00:02.0
61,1,796,261,00:00:02.033333333333333
62,1,791,236,00:00:02.0666666666666664
63,1,788,216,00:00:02.1
64,1,788,212,00:00:02.1333333333333333
65,1,785,195,00:00:02.1666666666666665
66,1,781,176,00:00:02.2
67,1,778,162,00:00:02.2333333333333334
68,1,777,151,00:00:02.2666666666666666
69,1,775,138,00:00:02.3
70,1,775,138,00:00:02.3333333333333335
71,1,773,133,00:00:02.3666666666666667
72,1,771,126,00:00:02.4
73,1,768,121,00:00:02.433333333333333
74,1,768,118,00:00:02.466666666666667
75,0,0,0,00:00:02.5
76,0,0,0,00:00:02.533333333333333
77,1,765,113,00:00:02.5666666666666664
78,1,765,116,00:00:02.6
79,1,763,116,00:00:02.6333333333333333
80,1,763,121,00:00:02.6666666666666665
81,1,761,123,00:00:02.7
82,1,761,125,00:00:02.7333333333333334
83,1,761,130,00:00:02.7666666666666666
84,1,761,136,00:00:02.8
85,1,761,143,00:00:02.8333333333333335
86,1,761,151,00:00:02.8666666666666667
87,1,761,161,00:00:02.9
88,1,761,162,00:00:02.933333333333333
89,1,761,171,00:00:02.966666666666667
90,1,761,181,00:00:03.0
91,0,0,0,00:00:03.033333333333333
92,1,802,287,00:00:03.0666666666666664
93,0,0,0,00:00:03.1
94,0,0,0,00:00:03.1333333333333333
95,1,836,362,00:00:03.1666666666666665
96,1,846,391,00:00:03.2
97,1,856,421,00:00:03.2333333333333334
98,1,863,446,00:00:03.2666666666666666
99,1,871,471,00:00:03.3
100,1,872,472,00:00:03.3333333333333335
101,1,878,496,00:00:03.3666666666666667
102,1,883,521,00:00:03.4
103,1,890,543,00:00:03.433333333333333
104,1,887,497,00:00:03.466666666666667
105,0,0,0,00:00:03.5
106,0,0,0,00:00:03.533333333333333
